B
300
319 534
1 31.0 24.0
2 32.0 24.0
3 31.0 23.0
4 32.0 23.0
5 30.0 24.0
6 30.0 23.0
7 31.0 22.0
8 32.0 20.0
9 32.0 21.0
10 31.0 21.0
11 30.0 21.0
12 30.0 22.0
13 31.0 20.0
14 30.0 20.0
15 29.0 23.0
16 32.0 19.0
17 32.0 18.0
18 31.0 18.0
19 31.0 19.0
20 30.0 19.0
21 30.0 18.0
22 29.0 18.0
23 29.0 19.0
24 29.0 20.0
25 28.0 18.0
26 28.0 19.0
27 27.0 22.0
28 28.0 22.0
29 28.0 21.0
30 26.0 22.0
31 26.0 21.0
32 27.0 21.0
33 26.0 20.0
34 27.0 20.0
35 25.0 20.0
36 24.0 22.0
37 25.0 22.0
38 25.0 21.0
39 27.0 17.0
40 28.0 17.0
41 28.0 16.0
42 27.0 16.0
43 26.0 18.0
44 27.0 18.0
45 26.0 17.0
46 26.0 16.0
47 23.0 20.0
48 23.0 21.0
49 29.0 22.0
50 24.0 20.0
51 24.0 19.0
52 23.0 19.0
53 24.0 18.0
54 23.0 18.0
55 22.0 19.0
56 22.0 20.0
57 21.0 18.0
58 22.0 18.0
59 21.0 17.0
60 22.0 17.0
61 22.0 16.0
62 20.0 18.0
63 20.0 17.0
64 20.0 16.0
65 21.0 19.0
66 32.0 15.0
67 32.0 16.0
68 32.0 14.0
69 30.0 16.0
70 31.0 16.0
71 31.0 15.0
72 30.0 15.0
73 31.0 14.0
74 30.0 14.0
75 31.0 13.0
76 32.0 13.0
77 31.0 12.0
78 29.0 14.0
79 29.0 13.0
80 30.0 13.0
81 28.0 14.0
82 28.0 13.0
83 29.0 12.0
84 28.0 12.0
85 28.0 20.0
86 31.0 11.0
87 32.0 11.0
88 32.0 10.0
89 30.0 12.0
90 30.0 11.0
91 31.0 10.0
92 31.0 9.0
93 32.0 9.0
94 32.0 8.0
95 31.0 8.0
96 30.0 9.0
97 30.0 10.0
98 32.0 12.0
99 29.0 11.0
100 30.0 8.0
101 29.0 9.0
102 29.0 10.0
103 28.0 9.0
104 28.0 8.0
105 29.0 8.0
106 27.0 12.0
107 28.0 11.0
108 27.0 11.0
109 32.0 22.0
110 28.0 10.0
111 26.0 11.0
112 27.0 9.0
113 26.0 9.0
114 25.0 12.0
115 26.0 12.0
116 26.0 10.0
117 24.0 12.0
118 25.0 11.0
119 24.0 11.0
120 24.0 10.0
